policy_id,valuation_date,driver_birth_date,driver_age,driver_age_band,vehicle_model_year,vehicle_age,vehicle_age_band,territory,vehicle_type,exposure,claim_count,total_claim_amount,earned_premium,true_annual_frequency,expected_claims_true
51,2026-01-01,2000-08-17,25,25-39,2025,1,0-3,Urban B,Sedan,0.2799,0,0.0,230.92,0.065761,0.018407
52,2026-01-01,1967-12-30,58,40-64,2020,6,4-7,Rural,Sedan,0.1066,0,0.0,79.95,0.034808,0.00371
53,2026-01-01,1978-11-02,47,40-64,2015,11,8-12,Suburban,Sedan,0.8082,0,0.0,606.15,0.051465,0.041594
54,2026-01-01,1972-03-08,53,40-64,2015,11,8-12,Urban A,Truck,0.6984,0,0.0,752.96,0.110555,0.077212
55,2026-01-01,1975-03-09,50,40-64,2009,17,13+,Urban A,SUV,0.7346,0,0.0,688.69,0.108152,0.079448
56,2026-01-01,1970-01-26,55,40-64,2009,17,13+,Rural,Sedan,0.8027,0,0.0,602.02,0.04699,0.037719
57,2026-01-01,1968-05-18,57,40-64,2012,14,13+,Urban B,SUV,0.513,0,0.0,423.22,0.085776,0.044003
58,2026-01-01,1993-01-15,32,25-39,2020,6,4-7,Rural,Sedan,0.6119,0,0.0,458.92,0.047092,0.028816
59,2026-01-01,1968-04-09,57,40-64,2026,0,0-3,Urban A,Truck,0.2258,0,0.0,243.44,0.081715,0.018451
60,2026-01-01,1989-11-19,36,25-39,2019,7,4-7,Urban A,SUV,0.2031,0,0.0,190.41,0.108388,0.022014
61,2026-01-01,2006-07-15,19,16-24,2019,7,4-7,Rural,Sedan,0.7016,0,0.0,762.99,0.077805,0.054588
62,2026-01-01,1962-08-12,63,40-64,2025,1,0-3,Rural,Sedan,0.524,0,0.0,393.0,0.029586,0.015503
63,2026-01-01,1965-11-28,60,40-64,2026,0,0-3,Urban A,Sedan,0.6087,0,0.0,570.66,0.061286,0.037305
64,2026-01-01,1965-11-18,60,40-64,2019,7,4-7,Urban A,Sedan,0.7885,0,0.0,739.22,0.072101,0.056852
65,2026-01-01,1984-01-20,41,40-64,2008,18,13+,Suburban,SUV,0.6712,0,0.0,503.4,0.067129,0.045057
66,2026-01-01,1964-01-26,61,40-64,2017,9,8-12,Suburban,Sedan,0.5982,0,0.0,448.65,0.051465,0.030787
67,2026-01-01,1988-01-11,37,25-39,2021,5,4-7,Urban B,SUV,0.6033,0,0.0,497.72,0.085962,0.051861
68,2026-01-01,1988-07-20,37,25-39,2020,6,4-7,Urban A,SUV,0.3736,0,0.0,350.25,0.108388,0.040494
69,2026-01-01,1984-08-19,41,40-64,2007,19,13+,Rural,Sedan,0.1277,0,0.0,95.78,0.04699,0.006001
70,2026-01-01,1967-02-03,58,40-64,2006,20,13+,Urban A,Sedan,0.493,0,0.0,462.19,0.097337,0.047987
71,2026-01-01,1991-10-25,34,25-39,2007,19,13+,Urban B,Sedan,0.2931,0,0.0,241.81,0.104444,0.030613
72,2026-01-01,2001-07-20,24,16-24,2007,19,13+,Urban B,SUV,0.4677,0,0.0,559.49,0.191734,0.089674
73,2026-01-01,1990-04-01,35,25-39,2016,10,8-12,Urban A,SUV,0.8681,0,0.0,813.84,0.124646,0.108205
74,2026-01-01,1980-11-29,45,40-64,2020,6,4-7,Suburban,Sedan,0.3105,0,0.0,232.88,0.044752,0.013896
75,2026-01-01,1987-09-26,38,25-39,2023,3,0-3,Urban B,Sedan,0.1525,0,0.0,125.81,0.065761,0.010029
76,2026-01-01,1967-08-24,58,40-64,2008,18,13+,Suburban,Truck,0.3532,0,0.0,304.64,0.080554,0.028452
77,2026-01-01,2000-01-07,25,25-39,2017,9,8-12,Urban B,Sedan,0.3642,0,0.0,300.47,0.088971,0.032403
78,2026-01-01,1970-01-12,55,40-64,2014,12,8-12,Urban A,Sedan,0.6957,0,0.0,652.22,0.082916,0.057685
79,2026-01-01,1987-10-08,38,25-39,2019,7,4-7,Rural,Sedan,0.6013,0,0.0,450.98,0.047092,0.028317
80,2026-01-01,1994-02-16,31,25-39,2026,0,0-3,Suburban,Sedan,0.8055,0,0.0,604.12,0.051465,0.041455
81,2026-01-01,1992-05-23,33,25-39,2013,13,13+,Urban B,SUV,0.6979,0,0.0,575.77,0.116049,0.080991
82,2026-01-01,1994-06-28,31,25-39,2013,13,13+,Urban A,SUV,0.4657,0,0.0,436.59,0.146323,0.068143
83,2026-01-01,1959-10-18,66,65+,2009,17,13+,Suburban,Sedan,0.8326,0,0.0,686.9,0.088847,0.073974
84,2026-01-01,1988-09-03,37,25-39,2009,17,13+,Suburban,Sedan,0.2503,0,0.0,187.73,0.081739,0.020459
85,2026-01-01,1962-06-15,63,40-64,2023,3,0-3,Suburban,SUV,0.1204,0,0.0,90.3,0.042266,0.005089
86,2026-01-01,1988-11-03,37,25-39,2008,18,13+,Suburban,Sedan,0.181,0,0.0,135.75,0.081739,0.014795
87,2026-01-01,2009-07-14,16,16-24,2008,18,13+,Urban A,Sports,0.7501,0,0.0,1478.52,0.67086,0.503212
88,2026-01-01,2009-11-12,16,16-24,2016,10,8-12,Rural,SUV,0.5157,0,0.0,560.82,0.099417,0.05127
89,2026-01-01,1984-12-01,41,40-64,2025,1,0-3,Urban A,Truck,0.2451,0,0.0,264.25,0.081715,0.020028
90,2026-01-01,1960-11-06,65,65+,2007,19,13+,Urban B,Sedan,0.5509,0,0.0,499.94,0.113527,0.062542
91,2026-01-01,1973-04-01,52,40-64,2014,12,8-12,Suburban,SUV,0.2371,0,0.0,177.82,0.057184,0.013558
92,2026-01-01,1969-06-21,56,40-64,2024,2,0-3,Urban A,Sedan,0.7267,0,0.0,681.28,0.061286,0.044537
93,2026-01-01,1982-03-06,43,40-64,2012,14,13+,Urban B,Truck,0.5015,0,0.0,475.8,0.102931,0.05162
94,2026-01-01,1989-04-21,36,25-39,2018,8,8-12,Urban A,SUV,0.4429,0,0.0,415.22,0.124646,0.055206
95,2026-01-01,1971-12-16,54,40-64,2009,17,13+,Suburban,SUV,0.3714,0,0.0,278.55,0.067129,0.024932
96,2026-01-01,1974-09-15,51,40-64,2024,2,0-3,Suburban,Sedan,0.6673,0,0.0,500.48,0.03804,0.025384
97,2026-01-01,2005-08-30,20,16-24,2018,8,8-12,Suburban,SUV,0.4256,0,0.0,462.84,0.127822,0.054401
98,2026-01-01,1975-01-07,50,40-64,2009,17,13+,Urban B,SUV,0.1789,0,0.0,147.59,0.085776,0.015345
99,2026-01-01,1971-05-28,54,40-64,2015,11,8-12,Urban B,Sedan,0.2062,0,0.0,170.12,0.065761,0.01356
100,2026-01-01,1984-07-15,41,40-64,2020,6,4-7,Rural,SUV,0.9657,0,0.0,724.28,0.038675,0.037348
101,2026-01-01,1985-01-25,40,40-64,2022,4,4-7,Suburban,Sedan,0.9177,0,0.0,688.28,0.044752,0.041069
102,2026-01-01,1964-05-29,61,40-64,2013,13,13+,Urban B,SUV,0.7297,1,1172.75,602.0,0.085776,0.06259
103,2026-01-01,1984-04-09,41,40-64,2020,6,4-7,Urban A,Sedan,0.3393,0,0.0,318.09,0.072101,0.024464
104,2026-01-01,1989-06-20,36,25-39,2015,11,8-12,Urban A,SUV,0.9723,0,0.0,911.53,0.124646,0.121193
105,2026-01-01,1964-08-06,61,40-64,2020,6,4-7,Urban B,Sedan,0.8009,0,0.0,660.74,0.057184,0.045798
106,2026-01-01,1942-03-26,83,65+,2018,8,8-12,Suburban,SUV,0.7452,0,0.0,614.79,0.084094,0.062667
107,2026-01-01,1994-08-21,31,25-39,2025,1,0-3,Rural,Truck,0.5044,0,0.0,435.04,0.053371,0.026921
108,2026-01-01,1984-01-26,41,40-64,2009,17,13+,Rural,Sedan,0.345,0,0.0,258.75,0.04699,0.016212
109,2026-01-01,2009-09-02,16,16-24,2012,14,13+,Urban B,Truck,0.1868,0,0.0,256.98,0.23008,0.042979
110,2026-01-01,1978-02-26,47,40-64,2006,20,13+,Urban B,Truck,0.9123,0,0.0,865.54,0.102931,0.093904
111,2026-01-01,1989-12-06,36,25-39,2017,9,8-12,Suburban,Sedan,0.5102,0,0.0,382.65,0.06963,0.035525
112,2026-01-01,1962-06-28,63,40-64,2013,13,13+,Urban B,Sedan,0.2821,0,0.0,232.73,0.077198,0.021778
113,2026-01-01,1951-07-10,74,65+,2025,1,0-3,Suburban,SUV,0.3754,0,0.0,309.71,0.062156,0.023333
114,2026-01-01,1998-01-24,27,25-39,2020,6,4-7,Suburban,Sports,0.6213,0,0.0,675.66,0.124459,0.077326
115,2026-01-01,1958-08-18,67,65+,2023,3,0-3,Urban A,Sedan,0.2591,0,0.0,267.2,0.090127,0.023352
116,2026-01-01,1993-08-02,32,25-39,2022,4,4-7,Urban B,Truck,0.871,0,0.0,826.36,0.103155,0.089848
117,2026-01-01,1987-12-10,38,25-39,2023,3,0-3,Urban B,Sedan,0.7827,0,0.0,645.73,0.065761,0.051471
118,2026-01-01,1955-12-06,70,65+,2020,6,4-7,Suburban,Sedan,0.7475,0,0.0,616.69,0.065813,0.049195
119,2026-01-01,1984-06-11,41,40-64,2021,5,4-7,Urban B,Truck,0.4889,0,0.0,463.84,0.076245,0.037276
120,2026-01-01,2008-11-14,17,16-24,2018,8,8-12,Urban A,Sedan,0.6646,0,0.0,903.44,0.231678,0.153973
121,2026-01-01,2003-09-01,22,16-24,2009,17,13+,Urban A,SUV,0.6257,0,0.0,850.56,0.302189,0.18908
122,2026-01-01,1986-01-19,39,25-39,2024,2,0-3,Rural,Sedan,0.6849,0,0.0,513.67,0.040029,0.027416
123,2026-01-01,1956-09-17,69,65+,2022,4,4-7,Rural,Sedan,0.176,0,0.0,145.2,0.051188,0.009009
124,2026-01-01,2000-01-24,25,25-39,2014,12,8-12,Rural,Truck,0.4742,0,0.0,409.0,0.072208,0.034241
125,2026-01-01,1994-08-02,31,25-39,2024,2,0-3,Rural,Sedan,0.1375,0,0.0,103.13,0.040029,0.005504
126,2026-01-01,1944-02-03,81,65+,2021,5,4-7,Urban A,SUV,0.5446,0,0.0,561.62,0.117812,0.064161
127,2026-01-01,1982-08-27,43,40-64,2021,5,4-7,Urban A,Truck,0.3969,0,0.0,427.91,0.096135,0.038156
128,2026-01-01,1957-04-02,68,65+,2006,20,13+,Urban B,SUV,0.2301,0,0.0,208.82,0.126141,0.029025
129,2026-01-01,1983-11-08,42,40-64,2020,6,4-7,Suburban,Truck,0.1931,0,0.0,166.55,0.05967,0.011522
130,2026-01-01,1977-04-29,48,40-64,2008,18,13+,Suburban,Truck,0.6289,0,0.0,542.43,0.080554,0.050661
131,2026-01-01,1947-09-02,78,65+,2022,4,4-7,Urban A,Sedan,0.2535,0,0.0,261.42,0.106031,0.026879
132,2026-01-01,1946-03-02,79,65+,2024,2,0-3,Rural,SUV,0.9326,0,0.0,769.4,0.048344,0.045085
133,2026-01-01,1995-07-19,30,25-39,2016,10,8-12,Urban B,Sedan,0.623,0,0.0,513.98,0.088971,0.055429
134,2026-01-01,1969-07-23,56,40-64,2011,15,13+,Suburban,SUV,0.4122,0,0.0,309.15,0.067129,0.02767
135,2026-01-01,1981-05-09,44,40-64,2016,10,8-12,Rural,SUV,0.6318,0,0.0,473.85,0.044476,0.0281
136,2026-01-01,1996-06-16,29,25-39,2021,5,4-7,Suburban,Sedan,0.1205,0,0.0,90.38,0.060548,0.007296
137,2026-01-01,2006-06-14,19,16-24,2011,15,13+,Suburban,SUV,0.9627,0,0.0,1046.94,0.150052,0.144456
138,2026-01-01,1977-02-08,48,40-64,2010,16,13+,Suburban,Sedan,0.5341,0,0.0,400.58,0.060416,0.032268
139,2026-01-01,2000-04-06,25,25-39,2018,8,8-12,Suburban,SUV,0.8045,0,0.0,603.38,0.077366,0.062241
140,2026-01-01,1948-12-12,77,65+,2008,18,13+,Rural,Sedan,0.1745,0,0.0,143.96,0.069103,0.012058
141,2026-01-01,1991-01-18,34,25-39,2008,18,13+,Urban B,Sedan,0.538,0,0.0,443.85,0.104444,0.056191
142,2026-01-01,1981-06-10,44,40-64,2015,11,8-12,Urban B,SUV,0.5416,0,0.0,446.82,0.073068,0.039574
143,2026-01-01,1967-12-07,58,40-64,2022,4,4-7,Rural,SUV,0.944,0,0.0,708.0,0.038675,0.036509
144,2026-01-01,1977-08-15,48,40-64,2012,14,13+,Suburban,Truck,0.6146,0,0.0,530.09,0.080554,0.049509
145,2026-01-01,1984-12-25,41,40-64,2009,17,13+,Suburban,SUV,0.5261,0,0.0,394.58,0.067129,0.035316
146,2026-01-01,1971-06-13,54,40-64,2021,5,4-7,Urban B,Truck,0.3403,0,0.0,322.86,0.076245,0.025946
147,2026-01-01,1994-05-17,31,25-39,2024,2,0-3,Urban A,SUV,0.3984,0,0.0,373.5,0.092129,0.036704
148,2026-01-01,1978-01-17,47,40-64,2019,7,4-7,Urban B,Truck,0.5686,0,0.0,539.46,0.076245,0.043353
149,2026-01-01,1945-04-29,80,65+,2016,10,8-12,Rural,Sedan,0.495,0,0.0,408.38,0.058866,0.029138
150,2026-01-01,1964-03-21,61,40-64,2018,8,8-12,Urban B,SUV,0.1195,0,0.0,98.59,0.073068,0.008732
151,2026-01-01,1986-03-13,39,25-39,2006,20,13+,Urban B,Sedan,0.8437,0,0.0,696.05,0.104444,0.08812
152,2026-01-01,1952-07-12,73,65+,2011,15,13+,Urban A,SUV,0.9065,1,1348.46,934.83,0.159047,0.144176
153,2026-01-01,1957-08-12,68,65+,2006,20,13+,Urban B,Truck,0.2262,0,0.0,236.07,0.151369,0.03424
154,2026-01-01,1989-04-28,36,25-39,2023,3,0-3,Urban B,SUV,0.5986,0,0.0,493.84,0.073068,0.043739
155,2026-01-01,1949-12-06,76,65+,2022,4,4-7,Suburban,SUV,0.1977,0,0.0,163.1,0.073125,0.014457
156,2026-01-01,1978-06-10,47,40-64,2026,0,0-3,Urban A,SUV,0.705,0,0.0,660.94,0.068096,0.048007
157,2026-01-01,1949-10-30,76,65+,2012,14,13+,Urban A,Sedan,0.3531,0,0.0,364.13,0.143142,0.050544
158,2026-01-01,1975-10-22,50,40-64,2014,12,8-12,Urban A,Truck,0.6935,0,0.0,747.68,0.110555,0.07667
159,2026-01-01,1999-02-15,26,25-39,2020,6,4-7,Urban A,Sedan,0.7543,0,0.0,707.16,0.097549,0.073581
160,2026-01-01,1997-07-19,28,25-39,2019,7,4-7,Rural,Sedan,0.7918,0,0.0,593.85,0.047092,0.037288
161,2026-01-01,1978-06-15,47,40-64,2019,7,4-7,Rural,Sedan,0.197,0,0.0,147.75,0.034808,0.006857
162,2026-01-01,2007-11-22,18,16-24,2024,2,0-3,Suburban,Truck,0.9244,0,0.0,1156.08,0.113373,0.104802
163,2026-01-01,1964-09-24,61,40-64,2019,7,4-7,Rural,Sedan,0.3072,0,0.0,230.4,0.034808,0.010693
164,2026-01-01,1987-07-19,38,25-39,2011,15,13+,Urban A,SUV,0.1337,0,0.0,125.34,0.146323,0.019563
165,2026-01-01,2006-02-05,19,16-24,2019,7,4-7,Rural,Sedan,0.5994,0,0.0,651.85,0.077805,0.046636
166,2026-01-01,1970-07-25,55,40-64,2021,5,4-7,Urban B,Sedan,0.4338,0,0.0,357.89,0.057184,0.024806
167,2026-01-01,1972-05-17,53,40-64,2017,9,8-12,Suburban,Sedan,0.8468,0,0.0,635.1,0.051465,0.043581
168,2026-01-01,1998-04-22,27,25-39,2022,4,4-7,Suburban,Sedan,0.8274,0,0.0,620.55,0.060548,0.050097
169,2026-01-01,1995-10-21,30,25-39,2024,2,0-3,Urban B,SUV,0.3854,0,0.0,317.96,0.073068,0.02816
170,2026-01-01,1966-09-25,59,40-64,2017,9,8-12,Urban B,Sedan,0.9576,0,0.0,790.02,0.065761,0.062973
171,2026-01-01,1996-06-22,29,25-39,2016,10,8-12,Urban A,Sedan,0.3618,0,0.0,339.19,0.112181,0.040587
172,2026-01-01,2009-08-11,16,16-24,2025,1,0-3,Urban B,Sedan,0.5636,0,0.0,674.21,0.108649,0.061235
173,2026-01-01,1940-03-10,85,65+,2020,6,4-7,Urban B,SUV,0.3304,0,0.0,299.84,0.093438,0.030872
174,2026-01-01,1988-08-04,37,25-39,2013,13,13+,Rural,Truck,0.9424,0,0.0,812.82,0.084766,0.079884
175,2026-01-01,1955-07-22,70,65+,2011,15,13+,Urban A,Sedan,0.2481,0,0.0,255.85,0.143142,0.035514
176,2026-01-01,1982-10-31,43,40-64,2021,5,4-7,Suburban,SUV,0.1404,0,0.0,105.3,0.049725,0.006981
177,2026-01-01,1945-04-20,80,65+,2014,12,8-12,Suburban,Sedan,0.4916,1,975.03,405.57,0.075684,0.037206
178,2026-01-01,1981-04-09,44,40-64,2011,15,13+,Urban A,Truck,0.9931,0,0.0,1070.69,0.129782,0.128887
179,2026-01-01,1965-07-17,60,40-64,2016,10,8-12,Urban B,Truck,0.9025,0,0.0,856.25,0.087682,0.079133
180,2026-01-01,1944-05-02,81,65+,2012,14,13+,Urban B,Sedan,0.7737,0,0.0,702.13,0.113527,0.087836
181,2026-01-01,1989-01-11,36,25-39,2024,2,0-3,Urban B,Sedan,0.9017,0,0.0,743.9,0.065761,0.059297
182,2026-01-01,2006-08-08,19,16-24,2013,13,13+,Urban A,Sedan,0.9041,0,0.0,1229.01,0.27197,0.245888
183,2026-01-01,1980-12-26,45,40-64,2013,13,13+,Urban A,Sedan,0.567,0,0.0,531.56,0.097337,0.05519
184,2026-01-01,1965-11-05,60,40-64,2015,11,8-12,Urban B,Sedan,0.3843,0,0.0,317.05,0.065761,0.025272
185,2026-01-01,1975-05-12,50,40-64,2021,5,4-7,Rural,Sedan,0.7948,0,0.0,596.1,0.034808,0.027665
186,2026-01-01,1961-03-20,64,40-64,2017,9,8-12,Rural,Sedan,0.6955,0,0.0,521.62,0.040029,0.02784
187,2026-01-01,1990-06-19,35,25-39,2023,3,0-3,Urban A,Sedan,0.4363,0,0.0,409.03,0.082916,0.036176
188,2026-01-01,2002-04-24,23,16-24,2017,9,8-12,Suburban,Sedan,0.185,0,0.0,201.19,0.11504,0.021282
189,2026-01-01,1992-12-28,33,25-39,2010,16,13+,Rural,Sedan,0.7721,1,783.39,579.08,0.063575,0.049086
190,2026-01-01,1992-05-04,33,25-39,2016,10,8-12,Urban A,Sedan,0.3362,0,0.0,315.19,0.112181,0.037715
191,2026-01-01,1986-05-14,39,25-39,2022,4,4-7,Urban A,Truck,0.9431,0,0.0,1016.78,0.130065,0.122664
192,2026-01-01,1987-01-21,38,25-39,2019,7,4-7,Urban A,Sedan,0.3169,0,0.0,297.09,0.097549,0.030913
193,2026-01-01,1992-08-11,33,25-39,2017,9,8-12,Urban A,Sedan,0.2105,0,0.0,197.34,0.112181,0.023614
194,2026-01-01,1998-03-14,27,25-39,2016,10,8-12,Rural,Truck,0.848,0,0.0,731.4,0.072208,0.061233
195,2026-01-01,1977-10-05,48,40-64,2017,9,8-12,Rural,Sedan,0.238,0,0.0,178.5,0.040029,0.009527
196,2026-01-01,1967-02-07,58,40-64,2010,16,13+,Suburban,Sedan,0.2613,0,0.0,195.98,0.060416,0.015787
197,2026-01-01,1952-06-14,73,65+,2025,1,0-3,Urban B,SUV,0.6394,0,0.0,580.26,0.079422,0.050782
198,2026-01-01,1989-03-30,36,25-39,2016,10,8-12,Rural,Sedan,0.8871,0,0.0,665.32,0.054156,0.048042
199,2026-01-01,1970-06-24,55,40-64,2019,7,4-7,Urban A,SUV,0.2768,0,0.0,259.5,0.080112,0.022175
200,2026-01-01,1976-04-04,49,40-64,2024,2,0-3,Urban A,SUV,0.3793,0,0.0,355.59,0.068096,0.025829
201,2026-01-01,1956-03-12,69,65+,2025,1,0-3,Urban A,SUV,0.7997,0,0.0,824.69,0.100141,0.080082
202,2026-01-01,1968-03-31,57,40-64,2010,16,13+,Rural,Truck,0.9746,0,0.0,840.59,0.062654,0.061062
203,2026-01-01,1994-01-07,31,25-39,2008,18,13+,Suburban,Sedan,0.5507,0,0.0,413.02,0.081739,0.045014
204,2026-01-01,1990-01-21,35,25-39,2016,10,8-12,Suburban,Sedan,0.2295,0,0.0,172.12,0.06963,0.01598
205,2026-01-01,1972-03-17,53,40-64,2006,20,13+,Suburban,Sedan,0.1125,0,0.0,84.38,0.060416,0.006797
206,2026-01-01,1965-06-24,60,40-64,2022,4,4-7,Urban A,Sedan,0.3067,0,0.0,287.53,0.072101,0.022113
207,2026-01-01,2000-11-29,25,25-39,2025,1,0-3,Urban B,SUV,0.2186,0,0.0,180.34,0.073068,0.015973
208,2026-01-01,1970-08-05,55,40-64,2010,16,13+,Rural,SUV,0.7099,0,0.0,532.42,0.052211,0.037065
209,2026-01-01,1995-05-25,30,25-39,2022,4,4-7,Rural,Sedan,0.2096,0,0.0,157.2,0.047092,0.009871
210,2026-01-01,1947-01-16,78,65+,2017,9,8-12,Suburban,Truck,0.5557,1,799.15,527.22,0.100912,0.056077
211,2026-01-01,1945-09-08,80,65+,2021,5,4-7,Urban A,Sedan,0.7248,0,0.0,747.45,0.106031,0.076851
212,2026-01-01,1959-01-13,66,65+,2020,6,4-7,Rural,Sports,0.623,1,4196.62,745.26,0.105219,0.065551
